!!SBtab	SBtabVersion='1.0'  TableType='QuantityMatrix'  TableName='E8I'  TableTitle=''  Document='D1 LTP time window'		
!Input_Time_S24	>S24	!Input_Time_S48	>S48
7.42	60	7.42	20
7.43	60	7.43	20
7.44	60	7.44	20
7.45	60	7.45	20
7.46	60	7.46	20
7.47	60	7.47	20
7.48	60	7.48	20
7.49	60	7.49	20
7.5	60	7.5	20
7.51	60	7.51	20
7.52	60	7.52	20
7.53	60	7.53	20
7.54	60	7.54	20
7.55	60	7.55	20
7.56	60	7.56	20
7.57	60	7.57	20
7.58	60	7.58	20
7.59	60	7.59	20
7.6	60	7.6	20
7.61	60	7.61	20
7.62	60	7.62	20
7.63	60	7.63	20
7.64	60	7.64	20
7.65	60	7.65	20
7.66	60	7.66	20
7.67	60	7.67	20
7.68	60	7.68	20
7.69	60	7.69	20
7.7	60	7.7	20
7.71	60	7.71	20
7.72	60	7.72	20
7.73	60	7.73	20
7.74	60	7.74	20
7.75	60	7.75	20
7.76	60	7.76	20
7.77	60	7.77	20
7.78	60	7.78	20
7.79	60	7.79	20
7.8	60	7.8	20
7.81	60	7.81	20
7.82	60	7.82	20
7.83	60	7.83	20
7.84	60	7.84	20
7.85	60	7.85	20
7.86	60	7.86	20
7.87	60	7.87	20
7.88	60	7.88	20
7.89	60	7.89	20
7.9	60	7.9	20
7.91	60	7.91	20
7.92	60	7.92	20
7.93	60	7.93	20
7.94	60	7.94	20
7.95	60	7.95	20
7.96	60	7.96	20
7.97	60	7.97	20
7.98	60	7.98	20
7.99	60	7.99	20
8	60	8	20
8.01	60	8.01	441.5498
8.02	60	8.02	792.6576
8.03	60	8.03	1042.1621
8.04	60	8.04	1216.6412
8.05	60	8.05	1335.7788
8.06	60	8.06	1414.1513
8.07	60	8.07	1462.5521
8.08	60	8.08	1488.9717
8.09	60	8.09	1499.3246
8.1	60	8.1	1497.9873
8.11	60	8.11	1488.1972
8.12	60	8.12	1472.3476
8.13	60	8.13	1452.2072
8.14	60	8.14	1429.0813
8.15	60	8.15	1403.9329
8.16	60	8.16	1377.4707
8.17	60	8.17	1350.2155
8.18	60	8.18	1322.5492
8.19	60	8.19	1294.7505
8.2	60	8.2	1267.0218
8.21	60	8.21	1239.5094
8.22	60	8.22	1212.3176
8.23	60	8.23	1185.5204
8.24	60	8.24	1159.1685
8.25	60	8.25	1133.2963
8.26	60	8.26	1107.9258
8.27	60	8.27	1083.0697
8.28	60	8.28	1058.7344
8.29	60	8.29	1034.9212
8.3	60	8.3	1011.628
8.31	60	8.31	988.8503
8.32	60	8.32	966.5815
8.33	60	8.33	944.8141
8.34	60	8.34	923.5395
8.35	60	8.35	902.7485
8.36	60	8.36	882.4316
8.37	60	8.37	862.5792
8.38	60	8.38	843.1814
8.39	60	8.39	824.2285
8.4	60	8.4	805.7106
8.41	60	8.41	787.6182
8.42	60	8.42	769.9416
8.43	60	8.43	752.6716
8.44	60	8.44	735.799
8.45	60	8.45	719.3145
8.46	60	8.46	703.2095
8.47	60	8.47	687.4753
8.48	60	8.48	672.1033
8.49	60	8.49	657.0852
8.5	60	8.5	642.4129
8.51	60	8.51	628.0784
8.52	60	8.52	614.0741
8.53	60	8.53	600.3923
8.54	60	8.54	587.0255
8.55	60	8.55	573.9666
8.56	60	8.56	561.2084
8.57	60	8.57	548.7441
8.58	60	8.58	536.5668
8.59	60	8.59	524.6699
8.6	60	8.6	513.0471
8.61	60	8.61	501.6919
8.62	60	8.62	490.5982
8.63	60	8.63	479.76
8.64	60	8.64	469.1714
8.65	60	8.65	458.8267
8.66	60	8.66	448.7203
8.67	60	8.67	438.8466
8.68	60	8.68	429.2003
8.69	60	8.69	419.7761
8.7	60	8.7	410.569
8.71	60	8.71	401.574
8.72	60	8.72	392.786
8.73	60	8.73	384.2006
8.74	60	8.74	375.8128
8.75	60	8.75	367.6182
8.76	60	8.76	359.6123
8.77	60	8.77	351.7908
8.78	60	8.78	344.1495
8.79	60	8.79	336.6841
8.8	60	8.8	329.3906
8.81	60	8.81	322.2652
8.82	60	8.82	315.3038
8.83	60	8.83	308.5028
8.84	60	8.84	301.8584
8.85	60	8.85	295.367
8.86	60	8.86	289.0251
8.87	60	8.87	282.8293
8.88	60	8.88	276.7761
8.89	60	8.89	270.8624
8.9	60	8.9	265.0849
8.91	60	8.91	259.4404
8.92	60	8.92	253.926
8.93	60	8.93	248.5385
8.94	60	8.94	243.2751
8.95	60	8.95	238.1329
8.96	60	8.96	233.1092
8.97	60	8.97	228.2012
8.98	60	8.98	223.4061
8.99	60	8.99	218.7216
9	60	9	214.1449
9.01	60	9.01	209.6736
9.02	60	9.02	205.3053
9.03	60	9.03	201.0376
9.04	60	9.04	196.8682
9.05	60	9.05	192.7948
9.06	60	9.06	188.8152
9.07	60	9.07	184.9273
9.08	60	9.08	181.1289
9.09	60	9.09	177.418
9.1	60	9.1	173.7926
9.11	60	9.11	170.2506
9.12	60	9.12	166.7902
9.13	60	9.13	163.4096
9.14	60	9.14	160.1068
9.15	60	9.15	156.88
9.16	60	9.16	153.7276
9.17	60	9.17	150.6477
9.18	60	9.18	147.6388
